[I 2025-12-31 03:35:52,615] A new study created in memory with name: no-name-7323a071-a3d0-4cc7-9666-5282fc79f6e8
[I 2025-12-31 04:06:17,260] Trial 0 finished with value: 0.8339837570045463 and parameters: {'lr': 0.00031489116479568613, 'batch_size': 16, 'weight_decay': 6.025215736203855e-07, 'dropout': 0.02904180608409973, 'epochs': 71, 'beta1': 0.9142118522312097, 'beta2': 0.970736450521825}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 04:25:38,453] Trial 1 finished with value: 0.8262367773308457 and parameters: {'lr': 1.2087541473056957e-05, 'batch_size': 16, 'weight_decay': 8.260808399079598e-07, 'dropout': 0.15212112147976886, 'epochs': 47, 'beta1': 0.882069553542002, 'beta2': 0.9290937911057844}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 04:29:43,879] Trial 2 finished with value: 0.8270711928713474 and parameters: {'lr': 0.0028016351587162596, 'batch_size': 128, 'weight_decay': 0.0008431013932082463, 'dropout': 0.09983689107917987, 'epochs': 46, 'beta1': 0.9125587680837881, 'beta2': 0.9046403962307278}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 04:31:07,386] Trial 3 finished with value: 0.8264708695258796 and parameters: {'lr': 0.0026926469100861782, 'batch_size': 128, 'weight_decay': 0.001101505679026963, 'dropout': 0.15230688458668534, 'epochs': 16, 'beta1': 0.9300042750373099, 'beta2': 0.9439712341245862}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 04:37:31,856] Trial 4 finished with value: 0.8268908246541582 and parameters: {'lr': 3.077180271250682e-05, 'batch_size': 64, 'weight_decay': 0.0002054051942538847, 'dropout': 0.15585553804470548, 'epochs': 46, 'beta1': 0.9038749530752231, 'beta2': 0.9184669601070001}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 04:43:02,240] Trial 5 finished with value: 0.8045431484297766 and parameters: {'lr': 0.07556810141274425, 'batch_size': 32, 'weight_decay': 0.004067908494359549, 'dropout': 0.04424625102595975, 'epochs': 23, 'beta1': 0.8085931848930022, 'beta2': 0.9325005000432501}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 04:58:11,967] Trial 6 finished with value: 0.8336584160196308 and parameters: {'lr': 0.00035868164986275477, 'batch_size': 32, 'weight_decay': 5.1698794422985435e-05, 'dropout': 0.07046211248738132, 'epochs': 66, 'beta1': 0.8141646222991565, 'beta2': 0.9985900049663917}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 05:00:13,467] Trial 7 finished with value: 0.8218148341400104 and parameters: {'lr': 0.012273800987852962, 'batch_size': 64, 'weight_decay': 0.00044160688951185945, 'dropout': 0.38563517334297287, 'epochs': 15, 'beta1': 0.8681084884234118, 'beta2': 0.9115753190465605}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 05:23:37,704] Trial 8 finished with value: 0.7784130070149977 and parameters: {'lr': 0.028340904295147733, 'batch_size': 16, 'weight_decay': 4.225874644996163e-06, 'dropout': 0.36480308916903204, 'epochs': 55, 'beta1': 0.9685704210895021, 'beta2': 0.9471742710236788}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 05:27:39,541] Trial 9 finished with value: 0.8250490541096069 and parameters: {'lr': 3.0086868214458443e-05, 'batch_size': 128, 'weight_decay': 2.9442723591496814e-05, 'dropout': 0.26136641469099703, 'epochs': 40, 'beta1': 0.8048296340813781, 'beta2': 0.9107783535566312}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 06:01:52,743] Trial 10 finished with value: 0.8282488424464842 and parameters: {'lr': 0.00031470708498898336, 'batch_size': 16, 'weight_decay': 1.0907785690006111e-07, 'dropout': 0.4661451709558936, 'epochs': 79, 'beta1': 0.9724563111036784, 'beta2': 0.9764787717520845}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 06:18:46,377] Trial 11 finished with value: 0.8343090467566779 and parameters: {'lr': 0.00022552353528655793, 'batch_size': 32, 'weight_decay': 1.0232319754608961e-05, 'dropout': 0.00818622053115401, 'epochs': 74, 'beta1': 0.8489325741465695, 'beta2': 0.9985546176604633}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 06:37:07,411] Trial 12 finished with value: 0.8324184801876677 and parameters: {'lr': 0.00016588321848039583, 'batch_size': 32, 'weight_decay': 1.221019140919634e-06, 'dropout': 0.002161896532907181, 'epochs': 77, 'beta1': 0.8407306107637741, 'beta2': 0.9738836216906468}. Best is trial 11 with value: 0.8343090467566779.
